time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/05:36:21.035000,-0.15,0.0,0.0,0.0,0.0,-0.6542
1970/01/01/05:36:21.135000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:21.136000,-0.15,0.0,0.0,0.0,0.0,-0.6672
1970/01/01/05:36:21.235000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:21.236000,-0.15,0.0,0.0,0.0,0.0,-0.6802
1970/01/01/05:36:21.335000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:21.336000,-0.15,0.0,0.0,0.0,0.0,-0.6924
1970/01/01/05:36:21.435000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:21.436000,-0.15,0.0,0.0,0.0,0.0,-0.7062
1970/01/01/05:36:21.535000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:21.536000,-0.15,0.0,0.0,0.0,0.0,-0.7192
1970/01/01/05:36:21.635000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:21.637000,-0.15,0.0,0.0,0.0,0.0,-0.7322
1970/01/01/05:36:21.733000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:21.734000,-0.15,0.0,0.0,0.0,0.0,-0.7452
1970/01/01/05:36:21.835000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:21.837000,-0.15,0.0,0.0,0.0,0.0,-0.7574
1970/01/01/05:36:21.934000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:21.935000,-0.15,0.0,0.0,0.0,0.0,-0.7704
1970/01/01/05:36:22.034000,-0.15,0.0,0.0,0.0,0.0,0.0
