time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.angular_vel,.linear_vel,.kp_dist,.kd_dist,.kp_angle,.kd_angle,.y_offset,.fork_angle,.dist_2_pallet
1970/01/01/05:31:27.295000,482,0,0,,0.0195,0.044,0.09,0.1,0.124,0.02,0.124,0.033,0.485
1970/01/01/05:31:27.394000,483,0,0,,0.0195,0.044,0.09,0.1,0.124,0.02,0.124,0.033,0.485
1970/01/01/05:31:27.495000,484,0,0,,0.0195,0.044,0.09,0.1,0.124,0.02,0.124,0.033,0.485
1970/01/01/05:31:27.596000,485,0,0,,0.0195,0.044,0.09,0.1,0.124,0.02,0.124,0.033,0.486
1970/01/01/05:31:27.694000,486,0,0,,0.0195,0.044,0.09,0.1,0.124,0.02,0.124,0.033,0.486
1970/01/01/05:31:27.796000,487,0,0,,0.0195,0.044,0.09,0.1,0.124,0.02,0.124,0.033,0.486
1970/01/01/05:31:27.896000,488,0,0,,0.0196,0.044,0.09,0.1,0.124,0.02,0.124,0.034,0.486
1970/01/01/05:31:27.994000,489,0,0,,0.0196,0.044,0.09,0.1,0.124,0.02,0.124,0.034,0.486
1970/01/01/05:31:28.095000,490,0,0,,0.0196,0.044,0.09,0.1,0.124,0.02,0.124,0.034,0.486
1970/01/01/05:31:28.195000,491,0,0,,0.0199,0.044,0.09,0.1,0.125,0.02,0.125,0.034,0.486
1970/01/01/05:31:28.295000,492,0,0,,0.0199,0.044,0.09,0.1,0.125,0.02,0.125,0.034,0.487
1970/01/01/05:31:28.395000,493,0,0,,0.0199,0.044,0.09,0.1,0.125,0.02,0.125,0.034,0.487
1970/01/01/05:31:28.494000,494,0,0,,0.02,0.044,0.09,0.1,0.125,0.02,0.125,0.035,0.487
1970/01/01/05:31:28.595000,495,0,0,,0.02,0.044,0.09,0.1,0.125,0.02,0.125,0.035,0.487
1970/01/01/05:31:28.695000,496,0,0,,0.02,0.044,0.09,0.1,0.125,0.02,0.125,0.035,0.487
1970/01/01/05:31:28.795000,497,0,0,,0.02,0.044,0.09,0.1,0.125,0.02,0.125,0.035,0.487
1970/01/01/05:31:28.896000,498,0,0,,0.02,0.044,0.09,0.1,0.125,0.02,0.125,0.035,0.487
1970/01/01/05:31:28.994000,499,0,0,,0.02,0.044,0.09,0.1,0.125,0.02,0.125,0.035,0.488
1970/01/01/05:31:29.094000,500,0,0,,0.0201,0.044,0.09,0.1,0.125,0.02,0.125,0.036,0.488
1970/01/01/05:31:29.196000,501,0,0,,0.0201,0.044,0.09,0.1,0.125,0.02,0.125,0.036,0.488
1970/01/01/05:31:29.294000,502,0,0,,0.0201,0.044,0.09,0.1,0.125,0.02,0.125,0.036,0.488
1970/01/01/05:31:29.393000,503,0,0,,0.0201,0.044,0.09,0.1,0.125,0.02,0.125,0.036,0.488
